version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,69,DF,0,64,6,0,1590912903.989749,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,0.0,1.0,17.0,17.0,17.0,0.0,0.0
4,5,0,52,DF,0,64,6,0,1590912903.989658,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-9.1e-05,-9.1e-05,-9.1e-05,-9.1e-05,0.0,149.0,66.0,83.0,12.020815280171307,2.0,17.0,0.0,17.0,12.020815280171307,0.0
4,5,0,69,DF,0,64,6,0,1590912904.991229,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.00148,1.00148,-9.1e-05,1.001571,0.7082819926568795,232.0,66.0,83.0,9.814954576223638,3.0,34.0,0.0,17.0,9.814954576223638,0.0
4,5,0,52,DF,0,64,6,0,1590912904.991284,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.001535,1.001535,-9.1e-05,1.001571,0.5782676833750957,298.0,66.0,83.0,9.814954576223638,4.0,34.0,0.0,17.0,9.814954576223638,0.0
4,5,0,69,DF,0,64,6,0,1590912905.992887,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,2.003138,2.003138,-9.1e-05,1.001603,0.5782769195910094,381.0,66.0,83.0,9.311283477587825,5.0,51.0,0.0,17.0,9.311283477587825,0.0
4,5,0,52,DF,0,64,6,0,1590912905.992941,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,2.003192,2.003192,-9.1e-05,1.001603,0.5485885102012255,447.0,66.0,83.0,9.311283477587825,6.0,51.0,0.0,17.0,9.311283477587825,0.0
4,5,0,69,DF,0,64,6,0,1590912906.994675,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,3.004926,3.004926,-9.1e-05,1.001734,0.5486153505657675,530.0,66.0,83.0,9.086882225022428,7.0,68.0,0.0,17.0,9.086882225022428,0.0
4,5,0,52,DF,0,64,6,0,1590912906.994731,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,3.004982,3.004982,-9.1e-05,1.001734,0.5353870787531293,596.0,66.0,83.0,9.086882225022428,8.0,68.0,0.0,17.0,9.086882225022428,0.0
4,5,0,69,DF,0,64,6,0,1590912907.996410,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,0.0,0.0,4.006661,4.006661,-9.1e-05,1.001734,0.5353928243675552,679.0,66.0,83.0,8.959786703810408,9.0,85.0,0.0,17.0,8.959786703810408,0.0
4,5,0,52,DF,0,64,6,0,1590912907.996465,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,4.006716,4.006716,-9.1e-05,1.001734,0.5279005963064921,745.0,66.0,83.0,8.959786703810408,10.0,85.0,0.0,17.0,8.959786703810408,0.0
