version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,68,DF,0,64,6,0,1590913709.288630,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,0.0,1.0,16.0,16.0,16.0,0.0,0.0
4,5,0,52,DF,0,64,6,0,1590913709.288547,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-8.3e-05,-8.3e-05,-8.3e-05,-8.3e-05,0.0,148.0,66.0,82.0,11.313708498984761,2.0,16.0,0.0,16.0,11.313708498984761,0.0
4,5,0,69,DF,0,64,6,0,1590913710.290263,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.001633,1.001633,-8.3e-05,1.001716,0.7083788662859021,231.0,66.0,83.0,9.539392014169456,3.0,33.0,0.0,17.0,9.539392014169456,0.0
4,5,0,52,DF,0,64,6,0,1590913710.290315,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.001685,1.001685,-8.3e-05,1.001716,0.5783499551197354,297.0,66.0,83.0,9.535023160258536,4.0,33.0,0.0,17.0,9.535023160258536,0.0
4,5,0,69,DF,0,64,6,0,1590913711.292052,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,2.003422,2.003422,-8.3e-05,1.001737,0.578356016048074,380.0,66.0,83.0,9.137833441248533,5.0,50.0,0.0,17.0,9.137833441248533,0.0
4,5,0,52,DF,0,64,6,0,1590913711.292108,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,2.003478,2.003478,-8.3e-05,1.001737,0.5486636390488256,446.0,66.0,83.0,9.136009340333812,6.0,50.0,0.0,17.0,9.136009340333812,0.0
4,5,0,69,DF,0,64,6,0,1590913712.293845,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,3.005215,3.005215,-8.3e-05,1.001737,0.5486655555106104,529.0,66.0,83.0,8.96022958889527,7.0,67.0,0.0,17.0,8.960229588895269,0.0
4,5,0,52,DF,0,64,6,0,1590913712.293897,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,3.005267,3.005267,-8.3e-05,1.001737,0.53543692038105,595.0,66.0,83.0,8.959233066666876,8.0,67.0,0.0,17.0,8.959233066666876,0.0
4,5,0,69,DF,0,64,6,0,1590913713.295201,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,0.0,0.0,4.006571,4.006571,-8.3e-05,1.001737,0.5353800115789418,678.0,66.0,83.0,8.860022573334675,9.0,84.0,0.0,17.0,8.860022573334675,0.0
4,5,0,52,DF,0,64,6,0,1590913713.295251,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,4.006621,4.006621,-8.3e-05,1.001737,0.5278885672401527,744.0,66.0,83.0,8.859395514869448,10.0,84.0,0.0,17.0,8.859395514869448,0.0
4,5,0,69,DF,0,64,6,0,1590913714.296861,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,5.008231,5.008231,-8.3e-05,1.001737,0.527887142242744,827.0,66.0,83.0,8.795660086863087,11.0,101.0,0.0,17.0,8.795660086863087,0.0
4,5,0,52,DF,0,64,6,0,1590913714.296916,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,12.0,0.0,0.0,5.008286,5.008286,-8.3e-05,1.001737,0.5230635765229865,893.0,66.0,83.0,8.795229423162343,12.0,101.0,0.0,17.0,8.795229423162343,0.0
4,5,0,68,DF,0,64,6,0,1590913715.298626,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,13.0,0.0,0.0,6.009996,6.009996,-8.3e-05,1.001737,0.5230713396416835,975.0,66.0,83.0,8.679477710861024,13.0,117.0,0.0,17.0,8.679477710861024,0.0
4,5,0,52,DF,0,64,6,0,1590913715.298683,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,14.0,0.0,0.0,6.010053,6.010053,-8.3e-05,1.001737,0.5197055243289469,1041.0,66.0,83.0,8.678950156797528,14.0,117.0,0.0,17.0,8.678950156797528,0.0
4,5,0,69,DF,0,64,6,0,1590913716.299437,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,15.0,0.0,0.0,7.010807,7.010807,-8.3e-05,1.001737,0.5196402191828295,1124.0,66.0,83.0,8.65585406091216,15.0,134.0,0.0,17.0,8.65585406091216,0.0
4,5,0,52,DF,0,64,6,0,1590913716.299491,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,16.0,0.0,0.0,7.010861,7.010861,-8.3e-05,1.001737,0.5171585365630801,1190.0,66.0,83.0,8.65544144839919,16.0,134.0,0.0,17.0,8.65544144839919,0.0
4,5,0,69,DF,0,64,6,0,1590913717.301255,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,17.0,0.0,0.0,8.012625,8.012625,-8.3e-05,1.001764,0.5171749504781361,1273.0,66.0,83.0,8.637725054529524,17.0,151.0,0.0,17.0,8.637725054529524,0.0
4,5,0,52,DF,0,64,6,0,1590913717.301309,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,18.0,0.0,0.0,8.012679,8.012679,-8.3e-05,1.001764,0.5152690674990192,1339.0,66.0,83.0,8.637394003019585,18.0,151.0,0.0,17.0,8.637394003019585,0.0
4,5,0,69,DF,0,64,6,0,1590913718.302959,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,19.0,0.0,0.0,9.014329,9.014329,-8.3e-05,1.001764,0.5152752674788008,1422.0,66.0,83.0,8.623373649530398,19.0,168.0,0.0,17.0,8.623373649530398,0.0
4,5,0,52,DF,0,64,6,0,1590913718.303017,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,9.014387,9.014387,-8.3e-05,1.001764,0.5137654054747075,1488.0,66.0,83.0,8.623102384689753,20.0,168.0,0.0,17.0,8.623102384689753,0.0
4,5,0,68,DF,0,64,6,0,1590913719.304679,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,21.0,0.0,0.0,10.016049,10.016049,-8.3e-05,1.001764,0.513770966556364,1570.0,66.0,83.0,8.566824160123527,21.0,184.0,0.0,17.0,8.566824160123527,0.0
4,5,0,52,DF,0,64,6,0,1590913719.304735,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,22.0,0.0,0.0,10.016105,10.016105,-8.3e-05,1.001764,0.5125455193912514,1636.0,66.0,83.0,8.566520961585361,22.0,184.0,0.0,17.0,8.566520961585361,0.0
4,5,0,69,DF,0,64,6,0,1590913720.305529,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,23.0,0.0,0.0,11.016899,11.016899,-8.3e-05,1.001764,0.5125097001081839,1719.0,66.0,83.0,8.561103323671375,23.0,201.0,0.0,17.0,8.561103323671375,0.0
4,5,0,52,DF,0,64,6,0,1590913720.305585,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,24.0,0.0,0.0,11.016955,11.016955,-8.3e-05,1.001764,0.5114952297204449,1785.0,66.0,83.0,8.560843619542462,24.0,201.0,0.0,17.0,8.560843619542462,0.0
4,5,0,69,DF,0,64,6,0,1590913721.307073,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,25.0,0.0,0.0,12.018443,12.018443,-8.3e-05,1.001764,0.5114949560779809,1868.0,66.0,83.0,8.556284240252891,25.0,218.0,0.0,17.0,8.556284240252891,0.0
4,5,0,52,DF,0,64,6,0,1590913721.307128,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,26.0,0.0,0.0,12.018498,12.018498,-8.3e-05,1.001764,0.510641283126988,1934.0,66.0,83.0,8.556059481218785,26.0,218.0,0.0,17.0,8.556059481218785,0.0
4,5,0,69,DF,0,64,6,0,1590913722.308759,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,27.0,0.0,0.0,13.020129,13.020129,-8.3e-05,1.001764,0.5106466615690359,2017.0,66.0,83.0,8.552169382069156,27.0,235.0,0.0,17.0,8.552169382069156,0.0
4,5,0,52,DF,0,64,6,0,1590913722.308815,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,28.0,0.0,0.0,13.020185,13.020185,-8.3e-05,1.001764,0.5099182873574283,2083.0,66.0,83.0,8.55197306978006,28.0,235.0,0.0,17.0,8.55197306978006,0.0
4,5,0,69,DF,0,64,6,0,1590913723.309729,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,29.0,0.0,0.0,14.021099,14.021099,-8.3e-05,1.001764,0.5098968249917117,2166.0,66.0,83.0,8.548614959979782,29.0,252.0,0.0,17.0,8.548614959979782,0.0
4,5,0,52,DF,0,64,6,0,1590913723.309795,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,30.0,0.0,0.0,14.021165,14.021165,-8.3e-05,1.001764,0.5092677671360678,2232.0,66.0,83.0,8.548442084319547,30.0,252.0,0.0,17.0,8.548442084319547,0.0
4,5,0,69,DF,0,64,6,0,1590913724.311324,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,31.0,0.0,0.0,15.022694,15.022694,-8.3e-05,1.001764,0.5092700293652728,2315.0,66.0,83.0,8.545513820222451,31.0,269.0,0.0,17.0,8.54551382022245,0.0
4,5,0,52,DF,0,64,6,0,1590913724.311380,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,32.0,0.0,0.0,15.02275,15.02275,-8.3e-05,1.001764,0.5087218215340021,2381.0,66.0,83.0,8.545360465414607,32.0,269.0,0.0,17.0,8.545360465414607,0.0
4,5,0,69,DF,0,64,6,0,1590913725.313027,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,33.0,0.0,0.0,16.024397,16.024397,-8.3e-05,1.001764,0.508727546197237,2464.0,66.0,83.0,8.542784479703714,33.0,286.0,0.0,17.0,8.542784479703714,0.0
4,5,0,52,DF,0,64,6,0,1590913725.313084,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,34.0,0.0,0.0,16.024454,16.024454,-8.3e-05,1.001764,0.5082452643440911,2530.0,66.0,83.0,8.542647545958697,34.0,286.0,0.0,17.0,8.542647545958697,0.0
4,5,0,69,DF,0,64,6,0,1590913726.314631,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,35.0,0.0,0.0,17.026001,17.026001,-8.3e-05,1.001764,0.508247324578408,2613.0,66.0,83.0,8.540363875506149,35.0,303.0,0.0,17.0,8.540363875506149,0.0
4,5,0,52,DF,0,64,6,0,1590913726.314686,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,36.0,0.0,0.0,17.026056,17.026056,-8.3e-05,1.001764,0.507819832756504,2679.0,66.0,83.0,8.540240879841404,36.0,303.0,0.0,17.0,8.540240879841404,0.0
4,5,0,69,DF,0,64,6,0,1590913727.315548,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,18.0,19.0,0.0,0.0,37.0,0.0,0.0,18.026918,18.026918,-8.3e-05,1.001764,0.5078023749401849,2762.0,66.0,83.0,8.538202439676686,37.0,320.0,0.0,17.0,8.538202439676686,0.0
4,5,0,52,DF,0,64,6,0,1590913727.315604,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,38.0,0.0,0.0,18.026974,18.026974,-8.3e-05,1.001764,0.5074207807803665,2828.0,66.0,83.0,8.5380913714615,38.0,320.0,0.0,17.0,8.5380913714615,0.0
4,5,0,69,DF,0,64,6,0,1590913728.317136,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,39.0,0.0,0.0,19.028506,19.028506,-8.3e-05,1.001764,0.5074230313932337,2911.0,66.0,83.0,8.5362606736673,39.0,337.0,0.0,17.0,8.5362606736673,0.0
4,5,0,52,DF,0,64,6,0,1590913728.317182,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,40.0,0.0,0.0,19.028552,19.028552,-8.3e-05,1.001764,0.5070805822612998,2977.0,66.0,83.0,8.536159888440798,40.0,337.0,0.0,17.0,8.5361598884408,0.0
4,5,0,68,DF,0,64,6,0,1590913729.318755,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,41.0,0.0,0.0,20.030125,20.030125,-8.3e-05,1.001764,0.5070836446887537,3059.0,66.0,83.0,8.511398383287226,41.0,353.0,0.0,17.0,8.511398383287226,0.0
4,5,0,52,DF,0,64,6,0,1590913729.318809,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,42.0,0.0,0.0,20.030179,20.030179,-8.3e-05,1.001764,0.5067742119221316,3125.0,66.0,83.0,8.511282394017277,42.0,353.0,0.0,17.0,8.511282394017277,0.0
4,5,0,69,DF,0,64,6,0,1590913730.320445,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,21.0,22.0,0.0,0.0,43.0,0.0,0.0,21.031815,21.031815,-8.3e-05,1.001764,0.5067784995815329,3208.0,66.0,83.0,8.510888082147707,43.0,370.0,0.0,17.0,8.510888082147705,0.0
4,5,0,52,DF,0,64,6,0,1590913730.320501,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,44.0,0.0,0.0,21.031871,21.031871,-8.3e-05,1.001764,0.5064976394054579,3274.0,66.0,83.0,8.51078162130229,44.0,370.0,0.0,17.0,8.51078162130229,0.0
4,5,0,69,DF,0,64,6,0,1590913731.322207,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,22.0,23.0,0.0,0.0,45.0,0.0,0.0,22.033577,22.033577,-8.3e-05,1.001764,0.5065031450011506,3357.0,66.0,83.0,8.51042141890005,45.0,387.0,0.0,17.0,8.51042141890005,0.0
4,5,0,52,DF,0,64,6,0,1590913731.322263,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,46.0,0.0,0.0,22.033633,22.033633,-8.3e-05,1.001764,0.5062471117060873,3423.0,66.0,83.0,8.510323370162517,46.0,387.0,0.0,17.0,8.510323370162517,0.0
4,5,0,69,DF,0,64,6,0,1590913732.324006,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,47.0,0.0,0.0,23.035376,23.035376,-8.3e-05,1.001764,0.5062529495573864,3506.0,66.0,83.0,8.509993037518445,47.0,404.0,0.0,17.0,8.509993037518445,0.0
4,5,0,52,DF,0,64,6,0,1590913732.324062,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,48.0,0.0,0.0,23.035432,23.035432,-8.3e-05,1.001764,0.5060185901190117,3572.0,66.0,83.0,8.509902450458057,48.0,404.0,0.0,17.0,8.509902450458057,0.0
4,5,0,69,DF,0,64,6,0,1590913733.325829,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,24.0,25.0,0.0,0.0,49.0,0.0,0.0,24.037199,24.037199,-8.3e-05,1.001767,0.5060244444679374,3655.0,66.0,83.0,8.50959842214205,49.0,421.0,0.0,17.0,8.50959842214205,0.0
4,5,0,52,DF,0,64,6,0,1590913733.325884,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,50.0,0.0,0.0,24.037254,24.037254,-8.3e-05,1.001767,0.505809138440701,3721.0,66.0,83.0,8.50951448290053,50.0,421.0,0.0,17.0,8.50951448290053,0.0
4,5,0,69,DF,0,64,6,0,1590913734.326483,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,25.0,26.0,0.0,0.0,51.0,0.0,0.0,25.037853,25.037853,-8.3e-05,1.001767,0.5057909392681239,3804.0,66.0,83.0,8.509233738917354,51.0,438.0,0.0,17.0,8.509233738917354,0.0
4,5,0,52,DF,0,64,6,0,1590913734.326538,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,52.0,0.0,0.0,25.037908,25.037908,-8.3e-05,1.001767,0.5055924456436809,3870.0,66.0,83.0,8.509155746804648,52.0,438.0,0.0,17.0,8.509155746804648,0.0
4,5,0,69,DF,0,64,6,0,1590913735.328252,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,26.0,27.0,0.0,0.0,53.0,0.0,0.0,26.039622,26.039622,-8.3e-05,1.001767,0.5055972908336359,3953.0,66.0,83.0,8.508895712190206,53.0,455.0,0.0,17.0,8.508895712190206,0.0
