version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,68,DF,0,64,6,0,1590913609.130693,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,0.0,1.0,16.0,16.0,16.0,0.0,0.0
4,5,0,52,DF,0,64,6,0,1590913609.130601,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-9.2e-05,-9.2e-05,-9.2e-05,-9.2e-05,0.0,148.0,66.0,82.0,11.313708498984761,2.0,16.0,0.0,16.0,11.313708498984761,0.0
4,5,0,69,DF,0,64,6,0,1590913610.132351,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.001658,1.001658,-9.2e-05,1.00175,0.7084092718774931,231.0,66.0,83.0,9.539392014169456,3.0,33.0,0.0,17.0,9.539392014169456,0.0
4,5,0,52,DF,0,64,6,0,1590913610.132405,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.001712,1.001712,-9.2e-05,1.00175,0.578371606422722,297.0,66.0,83.0,9.535023160258536,4.0,33.0,0.0,17.0,9.535023160258536,0.0
4,5,0,69,DF,0,64,6,0,1590913611.134170,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,2.003477,2.003477,-9.2e-05,1.001765,0.578375935046503,380.0,66.0,83.0,9.137833441248533,5.0,50.0,0.0,17.0,9.137833441248533,0.0
4,5,0,52,DF,0,64,6,0,1590913611.134224,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,2.003531,2.003531,-9.2e-05,1.001765,0.5486822619760913,446.0,66.0,83.0,9.136009340333812,6.0,50.0,0.0,17.0,9.136009340333812,0.0
4,5,0,69,DF,0,64,6,0,1590913612.135976,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,3.005283,3.005283,-9.2e-05,1.001765,0.5486812571691327,529.0,66.0,83.0,8.96022958889527,7.0,67.0,0.0,17.0,8.960229588895269,0.0
4,5,0,52,DF,0,64,6,0,1590913612.136031,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,3.005338,3.005338,-9.2e-05,1.001765,0.5354514418784085,595.0,66.0,83.0,8.959233066666876,8.0,67.0,0.0,17.0,8.959233066666876,0.0
4,5,0,68,DF,0,64,6,0,1590913613.137803,58727,1883,8,0,PA,502,0,3,0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,0.0,0.0,4.00711,4.00711,-9.2e-05,1.001772,0.5354536241785357,677.0,66.0,83.0,8.757536436946435,9.0,83.0,0.0,17.0,8.757536436946435,0.0
4,5,0,52,DF,0,64,6,0,1590913613.137857,1883,58727,8,0,A,509,0,3,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,4.007164,4.007164,-9.2e-05,1.001772,0.5279605722883365,743.0,66.0,83.0,8.756584823878415,10.0,83.0,0.0,17.0,8.756584823878415,0.0
