,version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,label
0,4,5,0,69,0,0,64,6,0,1590913507.97612,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,0.0,1.0,17.0,17.0,17.0,0.0,0.0,-1
1,4,5,0,52,0,0,64,6,0,1590913507.976034,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-8.6e-05,-8.6e-05,-8.6e-05,-8.6e-05,0.0,149.0,66.0,83.0,12.020815280171306,2.0,17.0,0.0,17.0,12.020815280171306,0.0,1
2,4,5,0,69,0,0,64,6,0,1590913508.977705,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.001585,1.001585,-8.6e-05,1.001671,0.7083491678010922,232.0,66.0,83.0,9.814954576223636,3.0,34.0,0.0,17.0,9.814954576223636,0.0,-1
3,4,5,0,52,0,0,64,6,0,1590913508.977767,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.001647,1.001647,-8.6e-05,1.001671,0.578321954427059,298.0,66.0,83.0,9.814954576223636,4.0,34.0,0.0,17.0,9.814954576223636,0.0,-1
4,4,5,0,69,0,0,64,6,0,1590913509.978473,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,2.002353,2.002353,-8.6e-05,1.001671,0.5780435155951352,381.0,66.0,83.0,9.311283477587823,5.0,51.0,0.0,17.0,9.311283477587823,0.0,-1
5,4,5,0,52,0,0,64,6,0,1590913509.978527,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,2.002407,2.002407,-8.6e-05,1.001671,0.5483681578335854,447.0,66.0,83.0,9.311283477587823,6.0,51.0,0.0,17.0,9.311283477587823,0.0,-1
6,4,5,0,68,0,0,64,6,0,1590913510.980201,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,3.0040810000000002,3.0040810000000002,-8.6e-05,1.001674,0.5484568043791295,529.0,66.0,83.0,8.96022958889527,7.0,67.0,0.0,17.0,8.96022958889527,0.0,-1
7,4,5,0,52,0,0,64,6,0,1590913510.980259,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,3.004139,3.004139,-8.6e-05,1.001674,0.5352326072437149,595.0,66.0,83.0,8.959233066666878,8.0,67.0,0.0,17.0,8.959233066666878,0.0,1
8,4,5,0,69,0,0,64,6,0,1590913511.981076,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,0.0,0.0,4.004956,4.004956,-8.6e-05,1.001674,0.5351613518663587,678.0,66.0,83.0,8.860022573334676,9.0,84.0,0.0,17.0,8.860022573334676,0.0,-1
9,4,5,0,52,0,0,64,6,0,1590913511.981131,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,4.005011,4.005011,-8.6e-05,1.001674,0.5276727194688905,744.0,66.0,83.0,8.859395514869446,10.0,84.0,0.0,17.0,8.859395514869446,0.0,1
