,version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,label
0,4,5,0,69,0,0,64,6,0,1590913910.608907,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,0.0,1.0,17.0,17.0,17.0,0.0,0.0,-1
1,4,5,0,52,0,0,64,6,0,1590913910.60883,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-7.7e-05,-7.7e-05,-7.7e-05,-7.7e-05,0.0,149.0,66.0,83.0,12.020815280171306,2.0,17.0,0.0,17.0,12.020815280171306,0.0,-1
2,4,5,0,69,0,0,64,6,0,1590913911.610508,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.001601,1.001601,-7.7e-05,1.001678,0.7083477535875299,232.0,66.0,83.0,9.814954576223636,3.0,34.0,0.0,17.0,9.814954576223636,0.0,-1
3,4,5,0,52,0,0,64,6,0,1590913911.610565,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.001658,1.001658,-7.7e-05,1.001678,0.5783248403250547,298.0,66.0,83.0,9.814954576223636,4.0,34.0,0.0,17.0,9.814954576223636,0.0,-1
4,4,5,0,69,0,0,64,6,0,1590913912.612362,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0034549999999998,2.0034549999999998,-7.7e-05,1.0017969999999998,0.5783591934126375,381.0,66.0,83.0,9.311283477587823,5.0,51.0,0.0,17.0,9.311283477587823,0.0,-1
5,4,5,0,52,0,0,64,6,0,1590913912.612418,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,2.003511,2.003511,-7.7e-05,1.0017969999999998,0.5486676570982656,447.0,66.0,83.0,9.311283477587823,6.0,51.0,0.0,17.0,9.311283477587823,0.0,-1
6,4,5,0,69,0,0,64,6,0,1590913913.614127,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,3.00522,3.00522,-7.7e-05,1.0017969999999998,0.5486624529686718,530.0,66.0,83.0,9.086882225022428,7.0,68.0,0.0,17.0,9.086882225022428,0.0,-1
7,4,5,0,52,0,0,64,6,0,1590913913.614178,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,3.005271,3.005271,-7.7e-05,1.0017969999999998,0.5354345160259585,596.0,66.0,83.0,9.086882225022428,8.0,68.0,0.0,17.0,9.086882225022428,0.0,-1
8,4,5,0,69,0,0,64,6,0,1590913914.61594,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,0.0,0.0,4.007033,4.007033,-7.7e-05,1.0017969999999998,0.5354390591236949,679.0,66.0,83.0,8.959786703810408,9.0,85.0,0.0,17.0,8.959786703810408,0.0,-1
9,4,5,0,52,0,0,64,6,0,1590913914.615994,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,4.007087,4.007087,-7.7e-05,1.0017969999999998,0.5279466324943376,745.0,66.0,83.0,8.959786703810408,10.0,85.0,0.0,17.0,8.959786703810408,0.0,-1
10,4,5,0,68,0,0,64,6,0,1590913915.617662,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,5.008755000000001,5.008755000000001,-7.7e-05,1.0017969999999998,0.5279394120614915,827.0,66.0,83.0,8.795660086863087,11.0,101.0,0.0,17.0,8.795660086863087,0.0,-1
11,4,5,0,52,0,0,64,6,0,1590913915.617717,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,12.0,0.0,0.0,5.0088099999999995,5.0088099999999995,-7.7e-05,1.0017969999999998,0.5231156137654989,893.0,66.0,83.0,8.795229423162342,12.0,101.0,0.0,17.0,8.795229423162342,0.0,-1
12,4,5,0,69,0,0,64,6,0,1590913916.6183438,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,13.0,0.0,0.0,6.009437,6.009437,-7.7e-05,1.0017969999999998,0.5230203233503817,976.0,66.0,83.0,8.750824137012644,13.0,118.0,0.0,17.0,8.750824137012644,0.0,-1
13,4,5,0,52,0,0,64,6,0,1590913916.618394,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,14.0,0.0,0.0,6.009487,6.009487,-7.7e-05,1.0017969999999998,0.5196555225664969,1042.0,66.0,83.0,8.750510189207745,14.0,118.0,0.0,17.0,8.750510189207745,0.0,-1
14,4,5,0,68,0,0,64,6,0,1590913917.620045,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,15.0,0.0,0.0,7.011138000000001,7.011138000000001,-7.7e-05,1.0017969999999998,0.519663732519807,1124.0,66.0,83.0,8.65585406091216,15.0,134.0,0.0,17.0,8.65585406091216,0.0,-1
15,4,5,0,52,0,0,64,6,0,1590913917.620103,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,16.0,0.0,0.0,7.011196000000001,7.011196000000001,-7.7e-05,1.0017969999999998,0.5171817430438973,1190.0,66.0,83.0,8.655441448399191,16.0,134.0,0.0,17.0,8.655441448399191,0.0,-1
16,4,5,0,196,0,0,1,17,0,1590913917.673308,33147,1900,8.0,0.0,0,505.5,0.0,3.0,0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,16.0,1.0,0.0,7.064400999999999,7.064400999999999,-7.7e-05,1.0017969999999998,0.5102628523331177,1400.0,66.0,210.0,33.94469983751253,16.0,134.0,0.0,17.0,8.655441448399191,0.0,-1
17,4,5,0,69,0,0,64,6,0,1590913918.621741,58727,1883,8.0,0.0,2,502.0,0.0,3.0,0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,17.0,1.0,0.0,8.012834,8.012834,-7.7e-05,1.0017969999999998,0.5091269055644716,1483.0,66.0,210.0,32.931549130045106,17.0,151.0,0.0,17.0,8.637725054529524,0.0,1
18,4,5,0,52,0,0,64,6,0,1590913918.6218061,1883,58727,8.0,0.0,1,509.0,0.0,3.0,0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,18.0,1.0,0.0,8.012899,8.012899,-7.7e-05,1.0017969999999998,0.506262391449274,1549.0,66.0,210.0,32.2238152459613,18.0,151.0,0.0,17.0,8.637394003019585,0.0,1
19,4,5,0,196,0,0,1,17,0,1590913918.673763,33147,1900,8.0,0.0,0,505.5,0.0,3.0,0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,18.0,2.0,0.0,8.064855999999999,8.064855999999999,-7.7e-05,1.0017969999999998,0.5001999291312197,1759.0,66.0,210.0,42.532309700050995,18.0,151.0,0.0,17.0,8.637394003019585,0.0,-1
