,version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,label
0,4,5,72,52,1,0,64,6,0,1590746442.474698,55045,22,8.0,0.0,1,2047.0,0.0,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mice_flow
1,4,5,0,291,0,0,128,17,0,1590746443.4003868,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.925689,0.925689,0.925689,0.925689,0.0,371.0,66.0,305.0,168.9985207035849,1.0,0.0,0.0,0.0,0.0,0.0,mice_flow
2,4,5,0,52,1,0,64,6,0,1590746443.437912,59980,443,8.0,0.0,1,501.0,0.0,3.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.9632139999999999,0.9632139999999999,0.037525,0.925689,0.6280267872057688,437.0,66.0,305.0,137.98671433632057,2.0,0.0,0.0,0.0,0.0,0.0,mice_flow
3,4,5,0,52,1,0,57,6,0,1590746443.4903538,443,59980,8.0,0.0,1,59.0,0.0,3.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.015656,1.015656,0.037525,0.925689,0.5085302565226577,503.0,66.0,305.0,119.5,3.0,0.0,0.0,0.0,0.0,0.0,mice_flow
4,4,5,0,291,0,0,128,17,0,1590746444.413958,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.9392599999999998,1.9392599999999998,0.037525,0.925689,0.5079108929809112,808.0,66.0,305.0,130.9056912437347,3.0,0.0,0.0,0.0,0.0,0.0,mice_flow
5,4,5,0,202,0,0,1,17,0,1590746444.418999,65525,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.9443009999999998,1.9443009999999998,0.0050409999999999995,0.925689,0.4894044591354885,1024.0,66.0,305.0,119.17326322068494,3.0,0.0,0.0,0.0,0.0,0.0,mice_flow
6,4,5,0,202,0,0,1,17,0,1590746445.419204,65525,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,2.944506,2.944506,0.0050409999999999995,1.000205,0.5038886687009344,1240.0,66.0,305.0,110.13087452576376,3.0,0.0,0.0,0.0,0.0,0.0,mice_flow
7,4,5,0,291,0,0,128,17,0,1590746445.428001,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,2.953303,2.953303,0.0050409999999999995,1.000205,0.4947416500962421,1545.0,66.0,305.0,111.53274663267544,3.0,0.0,0.0,0.0,0.0,0.0,mice_flow
8,4,5,0,40,1,0,64,6,0,1590746445.4859061,34356,443,5.0,0.0,1,501.0,0.0,1.1946902654867257,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0112080000000003,3.0112080000000003,0.0050409999999999995,1.000205,0.4757770921732751,1599.0,54.0,305.0,114.17201933924092,4.0,0.0,0.0,0.0,0.0,0.0,mice_flow
9,4,5,0,40,1,0,58,6,0,1590746445.503978,443,34356,5.0,0.0,1,67.0,0.0,1.1946902654867257,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,3.02928,3.02928,0.0050409999999999995,1.000205,0.4607982112663308,1659.0,54.0,305.0,113.8922004938588,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
10,4,5,0,202,0,0,1,17,0,1590746446.420231,65525,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,6.0,0.0,3.945533,3.945533,0.0050409999999999995,1.000205,0.4715331594620185,1875.0,54.0,305.0,109.09845428452564,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
11,4,5,0,291,0,0,128,17,0,1590746446.4419901,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,7.0,0.0,3.967292,3.967292,0.0050409999999999995,1.000205,0.4612410573449538,2180.0,54.0,305.0,111.03589373247596,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
